nombre,symbol,categoria,valor_usd,market_cap,ranking,volumen_24h,volumen/marketcap,circulating_supply,total_supply,max_supply,multichain,exchanges,pagina_web,contrato
Sixpack Token (SIXP),SIXP,gaming,0.11966374101840849,0,3691,192377.85922443,,0,180000000,239941406,True,4,,0xf117DFCB241c0003d5e2FC72F288755C17a46980
XANA,XETA,gaming,0.0008529514662263115,0,3784,158805.65302217,,0,4925701908,,False,13,,
Upland,SPARKLET,gaming,0.01422106881650597,2845512.8084482625,1514,182179.03439035,0.06402326984769303,200091346.52,1000000000,1000000000,True,16,,0x0bc37BEA9068a86C221B8bd71eA6228260DAD5A2
GensoKishi Metaverse,MV,gaming,0.0069052783915276835,3088818.5327597624,1490,1091923.119943,0.35350834254655966,447312672.65770733,2000000000,,True,50,,0xAE788F80F2756A86aa2F410C651F2aF83639B95b
Tevaera,TEVA,gaming,0.007067848686286023,0,3345,1033437.70977237,,0,4000000000,,True,16,,0x00309D634d11541b857f927BE91aD2f0bD78894c
Fishwar,FISHW,gaming,0.001449851115218477,0,3359,936612.57906101,,0,57076697777,57076697777,True,2,,0x805679729Df385815C57c24B20f4161BD34B655f
Moonsama,SAMA,gaming,0.0033190829764407517,0,5081,8114.44763223,,0,1000000000,1000000000,True,5,,0xE04F47FF45576249bc5083DFDf987e03d0550113
Honeyland,HXD,gaming,0.005921707663835883,0,4046,84538.60254569,,0,1000000000,,True,29,,3dgCCb15HMQSA4Pn3Tfii5vRk7aRqTH95LJjxzsG2Mug
Apeiron,APRS,gaming,0.01294215696846105,1313783.9794985657,1819,236705.92688006,0.18017111684555934,101511980.0123076,1000000000,1000000000,True,15,,0x95b4B8CaD3567B5d7EF7399C2aE1d7070692aB0D
Hatch,HATCH,gaming,0.0848464319601237,0,3418,620962.35781283,,0,995400000,1000000000,True,1,,0x072eF16A59bDc14E25f33Ff4509870660548C107
Neoxa,NEOX,gaming,0.000322127401928092,0,4412,29715.53700015,,0,7680513708.127388,21000000000,False,11,,
BRN Metaverse,BRN,gaming,0.09098934201358114,2543337.7322607557,1568,223083.2657726,0.08771279682714524,27952040.05191218,28103991.17465943,29700000,True,12,,0x926ecC7687fCFB296E97a2b4501F41A6f5F8C214
UNKJD,MBS,gaming,0.0033409001433428154,2089525.068627008,1646,20044.2014602,0.00959270686011473,625437750,1000000000,,True,27,,Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A
Decentral Games,DG,gaming,0.0011697313116647249,226715.7327503366,2459,0,0.0,193818640.64806634,935641413.9455436,,True,46,,0x4b520c812e8430659fc9f12f6d0c39026c83588d
Unagi Token,UNA,gaming,0.011181970959677856,0,4550,21070.34168557,,0,999700000,1000000000,True,12,,0x0b6f3ea2814f3fff804ba5d5c237aebbc364fba9
Catboy,CATBOY,gaming,0.010040441082680046,0,3622,236153.3310139,,0,147537803.53282714,200000000,True,17,,0xcA9b8D6df0729D85DCfc8eF8Bb18af1aD1990786
Decimated,DIO,gaming,0.0036964176440540866,2008115.287453341,1658,294564.86731968,0.14668722914471824,543259848,1000000000,1000000000,True,25,,BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD
SkyNity SkyDust,SDT,gaming,0.2944461352718937,7036301.254588752,1166,0,0.0,23896734.96,65085259.52,100000000,True,29,,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f
BoxBet,BXBT,gaming,0.02251661210513612,0,3914,121744.11402859,,0,100000000,100000000,True,7,,0x33f289d91286535c47270C8479f6776Fb3AdEB3e
Passage,PASG,gaming,0.001565324868164532,0,5170,5560.27848613,,0,1338488785,1500000000,True,11,,ibc/208B2F137CDE510B44C41947C045CFDC27F996A9D990EA64460BDD5B3DBEB2ED
Nyan Heroes,NYAN,gaming,0.01285681757365663,1299127.0186228484,1823,700664.18211568,0.5393346239988338,101045769,1000000000,,True,58,,NYANpAp9Cr7YarBNrby7Xx4xU6No6JKTBuohNA3yscP
Forgotten Playland,FP,gaming,0.0004730853909599014,0,3478,447566.82551556,,0,10000000000,10000000000,True,11,,0xEeee2A2E650697d2A8e8BC990C2f3d04203bE06f
Monsterra,MSTR,gaming,0.19207703955906422,3965587.0244841212,1372,872152.33299824,0.21993019636523986,20645815,21000000,21000000,True,30,,0x42069026EAC8Eee0Fd9b5f7aDFa4f6E6D69a2B39
GAM3S.GG,G3,gaming,0.00502184569383244,1604437.5106537906,1745,285698.34063185,0.1780676023433478,319491599,1000000000,,True,22,,0xCF67815ccE72E682Eb4429eCa46843bed81Ca739
Gamer Arena,GAU,gaming,0.005240515808065609,0,3594,259486.30282737,,0,500000000,500000000,True,15,,0xca8ebfb8e1460aaac7c272cb9053b3d42412aac2
Domi,DOMI,gaming,0.003967867246361204,0,4547,21244.57620739,,0,1000000000,1000000000,True,69,,0x45C2F8c9B4c0bDC76200448cc26C48ab6ffef83F
LEOX,LEOX,real-world-assets-rwa,0.05060785829061453,0,5308,2996.02798025,,0,50673440,150000000,True,14,,0xa444EC96Ee01bB219A44B285De47bf33C3447ad5
Aura Network,AURA,real-world-assets-rwa,0.21590235436435518,13936951.855981858,942,1876.27900564,0.00013462620987922012,64552106.88653244,79837462.09688957,100000000,True,31,,0xc0c293ce456ff0ed870add98a0828dd4d2903dbf
Neoxa,NEOX,real-world-assets-rwa,0.0003213265785108289,0,4416,28975.86050329,,0,7680363708.127388,21000000000,False,11,,
Carnomaly,CARR,real-world-assets-rwa,0.0013023656670334907,2087301.4545545755,1648,10752.19118319,0.005151240210046463,1602700000,1750000000,1750000000,True,17,,0x9b765735C82BB00085e9DBF194F20E3Fa754258E
Stobox Token,STBU,real-world-assets-rwa,0.015863542424511632,2379531.363676745,1591,93997.58577131,0.039502562229761555,150000000,250000000,250000000,True,21,,0xa6422e3e219ee6d4c1b18895275fe43556fd50ed
REV,REV,real-world-assets-rwa,1.4001097244931595e-05,1190947.3327511265,1868,9.80070577,8.229336008805744e-06,85061000000,85061485689.83401,,True,23,,0x2ef52Ed7De8c5ce03a4eF0efbe9B7450F2D7Edc9
Xend Finance,RWA,real-world-assets-rwa,0.014471028059145569,4351953.159826594,1330,281560.44891551,0.06469749066111936,300735589.9,999992033.83,1000000000,True,23,,0xe2b1dc2d4a3b4e59fdf0c47b71a7a86391a8b35a
